Country;Year;Attack Type;Target Industry;Financial Loss (in Million $);Number of Affected Users;Attack Source;Security Vulnerability Type;Defense Mechanism Used;Incident Resolution Time (in Hours)
France;2022;DDoS;Retail;75.55;149971;Nation-state;Weak Passwords;AI-based Detection;27
France;2015;Man-in-the-Middle;Healthcare;4.4;581971;Unknown;Zero-day;Firewall;27
Brazil;2019;DDoS;IT;60.86;521020;Nation-state;Zero-day;Antivirus;49
France;2016;Man-in-the-Middle;Government;86.35;440185;Hacker Group;Unpatched Software;Antivirus;48
UK;2023;Phishing;IT;69.65;311070;Unknown;Social Engineering;VPN;108
UK;2022;Malware;Retail;57.39;513558;Nation-state;Social Engineering;Encryption;73
France;2024;DDoS;Education;70.19;359906;Insider;Zero-day;VPN;113
Germany;2023;Phishing;Telecommunications;53.6;814724;Unknown;Social Engineering;VPN;47
Italy;2017;Man-in-the-Middle;Education;30.35;298892;Hacker Group;Weak Passwords;Encryption;52
Germany;2016;Malware;Government;11.67;502655;Nation-state;Social Engineering;VPN;29
China;2020;Malware;Banking;86.92;363437;Hacker Group;Weak Passwords;Encryption;49
France;2023;Ransomware;Healthcare;67.93;667529;Insider;Weak Passwords;Antivirus;27
UK;2024;Ransomware;Education;61.77;213557;Insider;Weak Passwords;VPN;96
Iran;2016;SQL Injection;IT;88.52;792133;Hacker Group;Zero-day;Firewall;91
Japan;2019;Man-in-the-Middle;Telecommunications;5.3;724429;Hacker Group;Zero-day;Firewall;95
Russia;2016;Phishing;IT;4.27;930542;Hacker Group;Social Engineering;VPN;27
Japan;2021;SQL Injection;Retail;9.83;808929;Hacker Group;Zero-day;Firewall;74
USA;2020;Phishing;Healthcare;48.3;111464;Hacker Group;Social Engineering;VPN;59
Japan;2021;Ransomware;Government;59.34;810658;Nation-state;Weak Passwords;Encryption;73
Mexico;2019;DDoS;Government;66.34;661464;Nation-state;Weak Passwords;AI-based Detection;108
Italy;2018;Ransomware;Telecommunications;55.31;134861;Nation-state;Weak Passwords;Firewall;106
Nigeria;2016;Malware;Government;23.94;753509;Nation-state;Weak Passwords;AI-based Detection;64
Brazil;2018;Man-in-the-Middle;Retail;50.51;734134;Insider;Social Engineering;Firewall;110
Canada;2023;Malware;Healthcare;62.41;389169;Nation-state;Unpatched Software;Antivirus;28
India;2017;Phishing;Government;38.12;966086;Hacker Group;Social Engineering;Antivirus;94
UK;2019;Ransomware;Healthcare;83.48;858391;Unknown;Weak Passwords;VPN;53
USA;2016;SQL Injection;Retail;78.68;931298;Nation-state;Zero-day;Firewall;79
Russia;2021;Phishing;Government;96.02;529649;Unknown;Social Engineering;VPN;70
France;2016;DDoS;Government;66.7;735971;Nation-state;Zero-day;Firewall;59
Brazil;2022;Malware;Government;73.66;138028;Unknown;Social Engineering;Firewall;37
Canada;2021;Man-in-the-Middle;Healthcare;62.23;319193;Insider;Social Engineering;VPN;60
France;2015;Malware;Telecommunications;90.77;665180;Unknown;Social Engineering;VPN;78
Italy;2015;Phishing;Government;59.34;763147;Insider;Social Engineering;VPN;111
India;2019;SQL Injection;Government;70.1;899185;Unknown;Zero-day;Firewall;68
Spain;2018;Phishing;Retail;87.32;955353;Unknown;Social Engineering;VPN;48
Nigeria;2021;Man-in-the-Middle;IT;69.73;691734;Unknown;Social Engineering;Antivirus;40
France;2019;Man-in-the-Middle;Healthcare;59.65;516773;Hacker Group;Weak Passwords;Antivirus;62
Russia;2021;Malware;Telecommunications;27.05;118144;Nation-state;Zero-day;VPN;93
UK;2024;Man-in-the-Middle;Education;46.94;697512;Unknown;Zero-day;Firewall;104
Nigeria;2018;Man-in-the-Middle;Healthcare;85.71;867357;Unknown;Zero-day;Antivirus;52
USA;2023;DDoS;Healthcare;31.28;266351;Insider;Social Engineering;VPN;103
South Africa;2016;SQL Injection;Government;89.1;278218;Nation-state;Zero-day;Firewall;32
USA;2022;Man-in-the-Middle;Banking;40.86;785041;Unknown;Weak Passwords;Firewall;74
India;2020;Man-in-the-Middle;IT;79.12;302293;Unknown;Social Engineering;Firewall;120
Brazil;2015;Malware;Education;62.47;546089;Insider;Unpatched Software;Firewall;105
Canada;2021;Malware;Healthcare;13.18;609282;Insider;Unpatched Software;Antivirus;54
Italy;2019;Malware;Government;42.74;188012;Nation-state;Weak Passwords;VPN;66
Nigeria;2022;Phishing;Retail;3.45;930630;Unknown;Social Engineering;VPN;102
Mexico;2017;Ransomware;Education;44.6;980408;Nation-state;Weak Passwords;Encryption;116
Russia;2017;Phishing;IT;32.69;753246;Hacker Group;Social Engineering;Antivirus;26
Russia;2015;Malware;Government;85.52;38891;Hacker Group;Zero-day;Antivirus;109
Italy;2020;Phishing;Education;97.35;604630;Hacker Group;Social Engineering;Antivirus;52
Japan;2023;Malware;IT;81.58;505349;Insider;Unpatched Software;Firewall;104
Mexico;2022;SQL Injection;Banking;48.32;996973;Hacker Group;Zero-day;Firewall;54
Brazil;2019;Ransomware;IT;49.62;534631;Unknown;Weak Passwords;Antivirus;80
Russia;2022;Man-in-the-Middle;Healthcare;62.24;449665;Hacker Group;Unpatched Software;Encryption;91
Italy;2016;Ransomware;Telecommunications;64.15;262965;Nation-state;Weak Passwords;Antivirus;72
Canada;2021;DDoS;Education;53.81;828923;Nation-state;Zero-day;Antivirus;93
Brazil;2023;DDoS;Telecommunications;32.77;878037;Insider;Zero-day;Antivirus;53
South Korea;2020;DDoS;Education;45.19;879909;Insider;Unpatched Software;Firewall;115
UK;2022;Malware;Education;43.33;419551;Hacker Group;Zero-day;AI-based Detection;65
Russia;2019;Malware;IT;90.47;900338;Nation-state;Unpatched Software;Firewall;46
South Africa;2019;DDoS;IT;71.88;559923;Hacker Group;Weak Passwords;AI-based Detection;110
USA;2021;SQL Injection;IT;58.09;573611;Unknown;Zero-day;Firewall;111
Israel;2015;Phishing;Healthcare;57.78;792256;Unknown;Social Engineering;Antivirus;42
South Korea;2016;SQL Injection;Government;55.56;707592;Insider;Zero-day;Firewall;104
India;2021;Malware;Healthcare;97.04;795186;Hacker Group;Unpatched Software;AI-based Detection;57
Spain;2022;DDoS;Government;26.49;320868;Hacker Group;Weak Passwords;AI-based Detection;57
Mexico;2022;DDoS;Banking;92.27;340767;Hacker Group;Social Engineering;AI-based Detection;97
Iran;2020;DDoS;Retail;47.78;152068;Unknown;Social Engineering;Firewall;72
China;2019;Malware;Healthcare;3.52;199617;Nation-state;Social Engineering;Antivirus;77
Canada;2020;Phishing;IT;66.11;980842;Hacker Group;Social Engineering;VPN;119
Australia;2019;SQL Injection;Telecommunications;34.7;950904;Nation-state;Zero-day;Firewall;119
Nigeria;2022;Ransomware;Healthcare;50.57;794737;Insider;Weak Passwords;Antivirus;47
Australia;2015;DDoS;Education;95.2;15066;Hacker Group;Unpatched Software;Encryption;74
Mexico;2017;DDoS;Healthcare;53.5;581868;Nation-state;Social Engineering;AI-based Detection;84
Spain;2021;SQL Injection;Banking;25.1;755175;Unknown;Zero-day;Firewall;65
Nigeria;2019;DDoS;Government;65.09;490160;Nation-state;Unpatched Software;Firewall;58
UK;2019;Ransomware;Education;68.78;292439;Nation-state;Weak Passwords;Firewall;49
India;2016;Man-in-the-Middle;IT;25.0;405181;Hacker Group;Unpatched Software;Firewall;47
Spain;2017;Man-in-the-Middle;Education;78.61;130752;Hacker Group;Weak Passwords;AI-based Detection;106
Italy;2016;SQL Injection;Telecommunications;48.48;258183;Hacker Group;Zero-day;Firewall;48
South Korea;2017;SQL Injection;Education;11.5;703119;Insider;Zero-day;Firewall;64
Brazil;2021;Ransomware;Retail;34.73;911614;Unknown;Weak Passwords;VPN;41
Russia;2019;Phishing;Healthcare;91.41;901653;Hacker Group;Social Engineering;VPN;48
India;2021;Malware;Retail;45.54;678376;Insider;Unpatched Software;Firewall;83
Iran;2023;Ransomware;Healthcare;55.77;290633;Hacker Group;Weak Passwords;AI-based Detection;104
Iran;2020;DDoS;Healthcare;70.91;133210;Insider;Unpatched Software;AI-based Detection;73
Spain;2016;SQL Injection;Retail;47.41;187009;Unknown;Zero-day;Firewall;40
Canada;2021;Ransomware;Banking;71.18;672415;Insider;Weak Passwords;VPN;71
Russia;2020;SQL Injection;Education;19.82;515190;Insider;Zero-day;Firewall;32
China;2016;Man-in-the-Middle;Telecommunications;21.99;794507;Unknown;Unpatched Software;Antivirus;119
China;2024;Man-in-the-Middle;Banking;18.13;728346;Insider;Weak Passwords;AI-based Detection;98
Australia;2020;Ransomware;Government;77.2;932562;Unknown;Weak Passwords;Firewall;45
Israel;2023;Phishing;Retail;88.88;898612;Insider;Social Engineering;VPN;74
UK;2015;Ransomware;Banking;67.68;539125;Hacker Group;Weak Passwords;VPN;45
Spain;2022;DDoS;Healthcare;64.74;161687;Unknown;Social Engineering;Encryption;85
Russia;2021;SQL Injection;IT;69.32;191823;Insider;Zero-day;Firewall;29
Israel;2019;Malware;Education;7.02;704421;Nation-state;Unpatched Software;Firewall;91
Brazil;2015;SQL Injection;Retail;4.25;41470;Insider;Zero-day;Firewall;34
Australia;2015;DDoS;Telecommunications;63.67;63933;Nation-state;Zero-day;Firewall;46
Nigeria;2023;Man-in-the-Middle;Government;99.64;974234;Hacker Group;Social Engineering;Encryption;119
USA;2016;SQL Injection;Healthcare;11.97;719111;Insider;Zero-day;Firewall;76
South Africa;2021;Man-in-the-Middle;Education;98.33;449628;Nation-state;Unpatched Software;AI-based Detection;27
Israel;2019;Man-in-the-Middle;IT;60.56;742461;Nation-state;Zero-day;VPN;75
France;2021;Man-in-the-Middle;IT;77.86;88145;Unknown;Social Engineering;VPN;56
Russia;2022;Malware;Education;82.0;169715;Nation-state;Zero-day;AI-based Detection;48
Iran;2015;SQL Injection;Banking;95.59;629616;Nation-state;Zero-day;Firewall;74
France;2019;Malware;Telecommunications;80.46;708153;Insider;Unpatched Software;VPN;62
Spain;2016;DDoS;Government;14.73;472748;Insider;Social Engineering;VPN;30
South Korea;2017;Malware;Healthcare;41.59;658390;Unknown;Zero-day;Encryption;28
South Africa;2021;Man-in-the-Middle;Healthcare;7.96;492062;Hacker Group;Weak Passwords;VPN;110
Nigeria;2020;Man-in-the-Middle;IT;63.56;140638;Hacker Group;Weak Passwords;Firewall;90
Canada;2017;Man-in-the-Middle;Telecommunications;73.89;398213;Hacker Group;Unpatched Software;Antivirus;69
Germany;2019;DDoS;Government;26.08;515670;Insider;Unpatched Software;Firewall;69
Italy;2019;Man-in-the-Middle;Telecommunications;28.27;65654;Nation-state;Zero-day;Antivirus;97
South Africa;2022;Man-in-the-Middle;Government;23.76;133246;Hacker Group;Weak Passwords;Antivirus;45
Nigeria;2019;Man-in-the-Middle;Retail;98.58;110096;Nation-state;Unpatched Software;Antivirus;74
Spain;2017;Man-in-the-Middle;Education;16.27;411062;Hacker Group;Social Engineering;Antivirus;118
China;2024;Malware;Education;34.39;821741;Unknown;Zero-day;Antivirus;44
Russia;2021;Malware;IT;35.59;984608;Hacker Group;Weak Passwords;AI-based Detection;56
Germany;2024;SQL Injection;IT;59.13;721165;Hacker Group;Zero-day;Firewall;47
Australia;2017;Ransomware;Retail;62.12;452913;Hacker Group;Weak Passwords;Firewall;60
France;2019;Ransomware;Banking;43.02;530436;Hacker Group;Weak Passwords;Firewall;76
France;2022;DDoS;Telecommunications;7.42;678052;Nation-state;Social Engineering;Firewall;61
Brazil;2024;SQL Injection;Government;51.81;849789;Hacker Group;Zero-day;Firewall;27
Iran;2017;Malware;Government;64.39;646039;Hacker Group;Social Engineering;Encryption;117
South Africa;2019;Ransomware;Banking;20.83;425144;Hacker Group;Weak Passwords;VPN;88
Brazil;2018;Man-in-the-Middle;Banking;43.64;667757;Unknown;Weak Passwords;Antivirus;95
USA;2017;Man-in-the-Middle;Government;70.11;829196;Unknown;Zero-day;VPN;118
Nigeria;2019;Phishing;Government;12.55;631860;Nation-state;Social Engineering;Antivirus;85
France;2016;Ransomware;Retail;66.66;930820;Unknown;Weak Passwords;VPN;78
France;2016;Malware;Banking;97.48;350710;Insider;Zero-day;VPN;56
Mexico;2018;DDoS;IT;14.29;142211;Unknown;Social Engineering;Antivirus;69
India;2017;DDoS;Education;57.23;579627;Unknown;Zero-day;Firewall;91
USA;2022;Ransomware;IT;72.97;613439;Nation-state;Weak Passwords;Antivirus;48
Russia;2018;Phishing;Education;49.58;159633;Nation-state;Social Engineering;Antivirus;38
Japan;2020;Ransomware;Education;85.07;864922;Unknown;Weak Passwords;Encryption;88
UK;2022;Man-in-the-Middle;Education;56.95;437772;Unknown;Weak Passwords;AI-based Detection;75
Canada;2016;SQL Injection;Banking;70.6;763160;Hacker Group;Zero-day;Firewall;93
China;2023;SQL Injection;Banking;16.39;678728;Hacker Group;Zero-day;Firewall;37
Nigeria;2021;DDoS;Telecommunications;50.3;555171;Insider;Zero-day;Antivirus;84
Brazil;2019;Phishing;Retail;63.24;430090;Insider;Social Engineering;Antivirus;62
Canada;2015;DDoS;Education;2.66;494339;Hacker Group;Zero-day;AI-based Detection;57
South Korea;2020;Phishing;Education;28.73;314929;Nation-state;Social Engineering;Antivirus;105
USA;2021;Malware;Government;12.0;494187;Insider;Zero-day;Antivirus;107
India;2023;SQL Injection;IT;18.8;858269;Nation-state;Zero-day;Firewall;35
South Africa;2020;Phishing;IT;16.25;588079;Insider;Social Engineering;Antivirus;28
Iran;2023;DDoS;Government;11.19;814938;Insider;Unpatched Software;Firewall;29
Israel;2024;Phishing;Telecommunications;27.63;219689;Hacker Group;Social Engineering;VPN;106
Japan;2024;Ransomware;Banking;33.72;193443;Nation-state;Weak Passwords;Antivirus;55
Nigeria;2020;Ransomware;Retail;73.21;876111;Nation-state;Weak Passwords;Encryption;90
South Africa;2024;Malware;Government;47.68;938565;Nation-state;Weak Passwords;Encryption;55
France;2020;Man-in-the-Middle;Telecommunications;46.37;539275;Nation-state;Unpatched Software;VPN;75
UK;2016;Malware;Banking;13.94;278479;Nation-state;Social Engineering;Encryption;57
Germany;2024;Phishing;Healthcare;15.12;658359;Insider;Social Engineering;VPN;63
Iran;2023;Ransomware;Banking;8.56;625594;Hacker Group;Weak Passwords;Firewall;90
Mexico;2016;Malware;Banking;96.47;530489;Hacker Group;Unpatched Software;Antivirus;81
South Korea;2020;SQL Injection;Retail;65.68;19064;Nation-state;Zero-day;Firewall;40
Australia;2024;Man-in-the-Middle;Banking;44.35;638720;Insider;Weak Passwords;VPN;99
Australia;2020;Man-in-the-Middle;Healthcare;97.02;671568;Insider;Unpatched Software;Antivirus;70
Italy;2019;Phishing;Healthcare;27.94;356984;Insider;Social Engineering;Antivirus;62
South Korea;2018;Malware;Government;33.34;230404;Unknown;Social Engineering;Encryption;70
Russia;2017;Ransomware;IT;81.14;512687;Hacker Group;Weak Passwords;Antivirus;112
China;2017;Ransomware;Education;95.27;137340;Insider;Weak Passwords;AI-based Detection;37
Israel;2017;Malware;Telecommunications;15.77;980614;Unknown;Unpatched Software;AI-based Detection;62
Australia;2024;Man-in-the-Middle;Education;68.29;296732;Nation-state;Unpatched Software;VPN;98
Israel;2021;DDoS;IT;30.51;521652;Hacker Group;Social Engineering;VPN;89
Mexico;2018;DDoS;Retail;50.22;492308;Insider;Weak Passwords;AI-based Detection;64
South Africa;2017;Man-in-the-Middle;Healthcare;85.08;247600;Insider;Weak Passwords;AI-based Detection;41
Mexico;2022;SQL Injection;Healthcare;67.04;989770;Hacker Group;Zero-day;Firewall;51
China;2015;DDoS;Telecommunications;74.89;103988;Nation-state;Unpatched Software;Firewall;43
USA;2024;Malware;Education;80.55;920256;Unknown;Zero-day;Antivirus;34
Nigeria;2019;SQL Injection;Banking;52.21;116655;Nation-state;Zero-day;Firewall;58
Italy;2022;Man-in-the-Middle;Banking;85.27;640891;Nation-state;Weak Passwords;AI-based Detection;66
South Africa;2020;Man-in-the-Middle;Banking;73.05;317010;Nation-state;Zero-day;AI-based Detection;32
Russia;2020;SQL Injection;Retail;6.36;333335;Nation-state;Zero-day;Firewall;33
Italy;2016;Malware;Banking;11.43;743995;Unknown;Zero-day;VPN;65
Iran;2015;Man-in-the-Middle;IT;58.48;627910;Hacker Group;Weak Passwords;Encryption;46
India;2015;DDoS;Banking;26.7;909165;Nation-state;Weak Passwords;Encryption;66
Mexico;2018;Man-in-the-Middle;Healthcare;65.52;48484;Insider;Unpatched Software;Firewall;107
India;2024;Malware;Telecommunications;63.23;723963;Hacker Group;Weak Passwords;AI-based Detection;80
Germany;2015;Man-in-the-Middle;Government;63.8;948302;Nation-state;Weak Passwords;AI-based Detection;50
France;2024;SQL Injection;Telecommunications;34.75;11160;Insider;Zero-day;Firewall;106
South Korea;2019;SQL Injection;Healthcare;7.3;971153;Insider;Zero-day;Firewall;115
India;2020;DDoS;IT;15.78;835359;Nation-state;Weak Passwords;Firewall;51
Brazil;2018;SQL Injection;IT;57.58;414271;Insider;Zero-day;Firewall;108
UK;2022;DDoS;Telecommunications;96.59;910197;Hacker Group;Zero-day;Antivirus;41
Australia;2022;DDoS;Banking;78.2;347105;Unknown;Social Engineering;Antivirus;33
India;2024;SQL Injection;Healthcare;15.71;793664;Unknown;Zero-day;Firewall;106
Nigeria;2024;Ransomware;IT;81.2;119002;Hacker Group;Weak Passwords;VPN;57
Germany;2024;DDoS;Education;91.06;926054;Nation-state;Social Engineering;VPN;77
Mexico;2020;Phishing;IT;60.85;105175;Insider;Social Engineering;VPN;73
South Korea;2017;SQL Injection;Healthcare;22.41;113140;Nation-state;Zero-day;Firewall;54
South Korea;2017;SQL Injection;IT;17.34;437330;Insider;Zero-day;Firewall;43
South Africa;2023;Phishing;Government;51.46;108503;Nation-state;Social Engineering;Antivirus;87
Iran;2023;Man-in-the-Middle;Retail;4.01;444720;Hacker Group;Weak Passwords;VPN;88
South Korea;2022;Phishing;Healthcare;19.89;337898;Hacker Group;Social Engineering;VPN;39
Spain;2020;DDoS;IT;81.28;375615;Unknown;Zero-day;AI-based Detection;33
Iran;2023;SQL Injection;Government;84.99;979914;Insider;Zero-day;Firewall;54
Spain;2023;Malware;IT;49.56;880923;Nation-state;Unpatched Software;Antivirus;49
South Korea;2015;Ransomware;Government;78.63;142321;Hacker Group;Weak Passwords;Encryption;94
Iran;2020;DDoS;Banking;22.23;684975;Hacker Group;Zero-day;AI-based Detection;99
South Korea;2024;Malware;Telecommunications;75.46;381777;Hacker Group;Unpatched Software;Encryption;97
Canada;2022;Phishing;Healthcare;90.12;621229;Insider;Social Engineering;Antivirus;106
Japan;2024;Man-in-the-Middle;Banking;96.65;920811;Insider;Social Engineering;VPN;102
Russia;2024;DDoS;Government;37.61;388566;Insider;Weak Passwords;AI-based Detection;70
Spain;2020;Man-in-the-Middle;Government;24.91;41535;Insider;Zero-day;Antivirus;54
Mexico;2015;Phishing;Banking;50.57;483270;Nation-state;Social Engineering;Antivirus;112
USA;2018;DDoS;Banking;94.86;146162;Insider;Zero-day;Firewall;98
Brazil;2020;Ransomware;Banking;52.32;731509;Nation-state;Weak Passwords;Antivirus;56
Australia;2021;Man-in-the-Middle;Government;85.39;581659;Hacker Group;Weak Passwords;Firewall;43
Iran;2022;DDoS;Telecommunications;7.62;954173;Insider;Zero-day;Encryption;57
Iran;2020;Man-in-the-Middle;Retail;38.91;924057;Insider;Zero-day;VPN;75
Spain;2015;Malware;Banking;12.27;609726;Hacker Group;Zero-day;Encryption;63
USA;2018;DDoS;Government;99.27;691994;Insider;Zero-day;VPN;75
Italy;2023;DDoS;Healthcare;95.36;261297;Hacker Group;Social Engineering;Encryption;120
Brazil;2022;Ransomware;Government;60.72;437242;Hacker Group;Weak Passwords;Encryption;58
South Korea;2019;SQL Injection;Banking;26.74;130529;Nation-state;Zero-day;Firewall;65
Canada;2019;SQL Injection;Government;5.39;967990;Hacker Group;Zero-day;Firewall;70
Italy;2024;SQL Injection;Healthcare;93.62;379521;Hacker Group;Zero-day;Firewall;100
USA;2021;Phishing;Retail;66.11;204316;Unknown;Social Engineering;Antivirus;50
South Korea;2020;Man-in-the-Middle;Government;74.88;593449;Insider;Unpatched Software;Antivirus;47
Italy;2019;Man-in-the-Middle;Education;24.14;931123;Nation-state;Zero-day;VPN;92
Nigeria;2022;Ransomware;Telecommunications;74.73;959581;Nation-state;Weak Passwords;AI-based Detection;75
Nigeria;2018;Man-in-the-Middle;Retail;40.16;799765;Hacker Group;Social Engineering;AI-based Detection;60
Mexico;2023;SQL Injection;Telecommunications;24.2;93075;Insider;Zero-day;Firewall;106
South Korea;2024;SQL Injection;Healthcare;93.69;949073;Insider;Zero-day;Firewall;86
Brazil;2016;Man-in-the-Middle;Telecommunications;60.11;97116;Nation-state;Zero-day;AI-based Detection;64
Mexico;2018;Man-in-the-Middle;Telecommunications;82.9;968823;Nation-state;Weak Passwords;Encryption;64
Canada;2016;Malware;Education;48.72;152023;Unknown;Social Engineering;Encryption;66
France;2018;SQL Injection;Banking;17.59;199605;Unknown;Zero-day;Firewall;76
Australia;2021;Phishing;Telecommunications;24.15;245599;Unknown;Social Engineering;Antivirus;116
Germany;2020;Man-in-the-Middle;Government;86.43;173667;Insider;Unpatched Software;VPN;108
India;2019;Phishing;Banking;25.06;916461;Nation-state;Social Engineering;VPN;109
Germany;2022;Malware;Government;63.14;926160;Nation-state;Zero-day;VPN;87
Australia;2024;Malware;Retail;70.09;113166;Nation-state;Unpatched Software;VPN;102
UK;2016;Phishing;IT;36.67;777897;Unknown;Social Engineering;VPN;97
Italy;2018;Man-in-the-Middle;Government;53.5;986018;Hacker Group;Social Engineering;Firewall;69
Germany;2022;Malware;Government;11.18;586718;Unknown;Zero-day;Firewall;75
South Korea;2016;Ransomware;Telecommunications;67.56;531940;Nation-state;Weak Passwords;Encryption;95
Spain;2022;DDoS;IT;77.18;479353;Unknown;Zero-day;AI-based Detection;29
Russia;2022;Malware;Education;99.01;716123;Unknown;Social Engineering;VPN;75
Italy;2015;SQL Injection;Banking;71.74;311944;Insider;Zero-day;Firewall;46
Mexico;2020;Phishing;Banking;84.2;992669;Nation-state;Social Engineering;VPN;52
Japan;2017;SQL Injection;Healthcare;62.04;681722;Nation-state;Zero-day;Firewall;80
Canada;2020;Phishing;IT;58.99;850065;Hacker Group;Social Engineering;Antivirus;34
China;2022;Malware;IT;9.91;601860;Nation-state;Zero-day;Firewall;36
Israel;2015;Man-in-the-Middle;Retail;32.13;78920;Insider;Social Engineering;VPN;45
Mexico;2022;Man-in-the-Middle;IT;31.12;689610;Insider;Social Engineering;Antivirus;103
Israel;2020;Phishing;Education;39.98;174474;Nation-state;Social Engineering;Antivirus;48
France;2024;SQL Injection;Healthcare;8.77;819718;Insider;Zero-day;Firewall;115
Australia;2024;DDoS;Healthcare;41.65;688061;Nation-state;Social Engineering;AI-based Detection;57
South Korea;2015;DDoS;Retail;52.14;988072;Unknown;Unpatched Software;VPN;25
Israel;2021;Malware;Healthcare;47.98;518667;Unknown;Social Engineering;VPN;28
USA;2024;Malware;Education;60.62;63617;Nation-state;Weak Passwords;Firewall;48
Russia;2018;Man-in-the-Middle;Banking;5.69;471544;Hacker Group;Zero-day;Antivirus;29
China;2016;Phishing;Banking;10.72;479815;Unknown;Social Engineering;VPN;58
South Africa;2019;SQL Injection;Telecommunications;44.95;332792;Insider;Zero-day;Firewall;80
China;2019;DDoS;Government;21.41;495334;Insider;Social Engineering;Encryption;118
Canada;2020;Phishing;Telecommunications;35.25;296615;Unknown;Social Engineering;VPN;41
China;2022;Man-in-the-Middle;IT;94.17;673837;Unknown;Weak Passwords;Encryption;84
Mexico;2019;DDoS;Telecommunications;94.55;814368;Insider;Weak Passwords;VPN;80
Nigeria;2023;SQL Injection;Telecommunications;19.45;416483;Nation-state;Zero-day;Firewall;53
Germany;2020;Malware;Banking;64.14;583727;Nation-state;Zero-day;Firewall;120
Russia;2018;SQL Injection;Telecommunications;62.27;195824;Insider;Zero-day;Firewall;100
Mexico;2021;DDoS;IT;8.63;424371;Unknown;Unpatched Software;AI-based Detection;101
UK;2022;Malware;Healthcare;27.7;998622;Insider;Zero-day;Encryption;49
South Africa;2018;Ransomware;Banking;14.3;212965;Hacker Group;Weak Passwords;Firewall;70
Nigeria;2022;Ransomware;Telecommunications;38.99;847376;Unknown;Weak Passwords;AI-based Detection;94
Germany;2024;Ransomware;Banking;53.06;230810;Hacker Group;Weak Passwords;Antivirus;30
Mexico;2023;SQL Injection;Banking;19.26;357247;Hacker Group;Zero-day;Firewall;48
India;2019;DDoS;Telecommunications;66.57;383596;Insider;Weak Passwords;Antivirus;91
Italy;2019;Man-in-the-Middle;Government;3.14;950368;Insider;Zero-day;Encryption;98
Brazil;2024;Malware;Telecommunications;26.58;508224;Hacker Group;Social Engineering;Antivirus;29
Iran;2024;SQL Injection;Retail;69.25;650967;Unknown;Zero-day;Firewall;54
Brazil;2016;Man-in-the-Middle;Education;52.03;471138;Unknown;Social Engineering;AI-based Detection;67
USA;2018;Phishing;Government;64.03;248091;Nation-state;Social Engineering;VPN;55
South Africa;2019;Ransomware;Retail;23.59;261978;Nation-state;Weak Passwords;Antivirus;71
Australia;2019;Ransomware;Education;33.32;680522;Hacker Group;Weak Passwords;Encryption;35
Germany;2019;Phishing;Banking;9.85;137151;Hacker Group;Social Engineering;VPN;83
USA;2017;Ransomware;Government;18.95;691146;Nation-state;Weak Passwords;Antivirus;109
Iran;2023;Phishing;Healthcare;96.8;409850;Nation-state;Social Engineering;VPN;119
France;2018;Man-in-the-Middle;IT;7.55;358684;Hacker Group;Unpatched Software;Antivirus;83
Japan;2020;Phishing;Government;60.21;498230;Nation-state;Social Engineering;Antivirus;76
USA;2015;Phishing;Telecommunications;43.85;291290;Unknown;Social Engineering;VPN;83
Iran;2015;SQL Injection;Healthcare;86.36;785688;Insider;Zero-day;Firewall;95
Japan;2016;Ransomware;Government;31.4;702789;Hacker Group;Weak Passwords;Encryption;42
Mexico;2015;Man-in-the-Middle;Telecommunications;76.01;102245;Nation-state;Social Engineering;Antivirus;104
Australia;2018;SQL Injection;Healthcare;13.16;710744;Insider;Zero-day;Firewall;48
Iran;2016;Phishing;Healthcare;69.38;986802;Hacker Group;Social Engineering;VPN;37
Spain;2024;Man-in-the-Middle;Education;79.72;451438;Insider;Zero-day;AI-based Detection;69
China;2020;Man-in-the-Middle;Retail;51.03;574835;Insider;Zero-day;Encryption;77
Italy;2017;DDoS;Healthcare;21.56;97206;Hacker Group;Unpatched Software;Firewall;104
France;2018;DDoS;Banking;26.05;657817;Hacker Group;Unpatched Software;Firewall;89
France;2023;Phishing;Government;99.32;31606;Hacker Group;Social Engineering;VPN;104
Mexico;2018;Malware;IT;82.73;790733;Insider;Unpatched Software;AI-based Detection;29
Nigeria;2017;Malware;IT;22.41;286639;Nation-state;Unpatched Software;Encryption;96
Brazil;2020;DDoS;IT;85.43;445475;Insider;Zero-day;VPN;51
Italy;2021;Malware;Education;51.93;304647;Hacker Group;Social Engineering;Firewall;31
UK;2015;Malware;IT;59.21;680736;Nation-state;Zero-day;AI-based Detection;100
Germany;2024;DDoS;Government;13.08;737683;Insider;Zero-day;Firewall;46
Japan;2022;Phishing;Retail;77.66;593298;Nation-state;Social Engineering;VPN;84
Brazil;2022;Man-in-the-Middle;Banking;71.24;150715;Hacker Group;Weak Passwords;AI-based Detection;89
Spain;2015;Phishing;Retail;28.05;423982;Hacker Group;Social Engineering;Antivirus;76
UK;2017;Man-in-the-Middle;IT;41.72;557682;Hacker Group;Social Engineering;VPN;76
South Africa;2016;Man-in-the-Middle;Healthcare;14.7;78547;Hacker Group;Unpatched Software;Antivirus;38
Russia;2017;Malware;Banking;34.49;597013;Insider;Social Engineering;Encryption;49
UK;2022;Malware;Banking;84.13;180409;Nation-state;Weak Passwords;VPN;92
UK;2020;Ransomware;Healthcare;99.99;716383;Unknown;Weak Passwords;Encryption;109
